,Date,ID,bin_pink,polarity,subjectivity,intensity,base_polarity,base_subjectivity
0,12/1/2009,11-1,1,-0.1,0.3,-0.1,-0.00011017029912378375,0.35943008380508384
1,12/1/2009,11-1,1,-0.1,0.5,-0.1,-0.00011017029912378375,0.35943008380508384
2,10/27/2013,15-1,1,0.021693121693121684,0.4133597883597884,0.021693121693121684,0.13968510153292762,0.36403277077190116
3,10/27/2013,15-1,1,-0.1,0.3,-0.1,0.13968510153292762,0.36403277077190116
4,10/27/2013,15-1,1,-0.05,0.125,-0.05,0.13968510153292762,0.36403277077190116
5,10/27/2013,15-1,1,0.13,0.4900000000000001,0.13,0.13968510153292762,0.36403277077190116
6,10/27/2013,15-1,1,-0.05,0.65,-0.05,0.13968510153292762,0.36403277077190116
7,10/27/2013,15-1,1,-0.06666666666666668,0.5,-0.06666666666666668,0.13968510153292762,0.36403277077190116
8,10/27/2013,15-1,1,0.2,0.4,0.2,0.13968510153292762,0.36403277077190116
9,10/27/2013,15-1,1,0.2083333333333333,0.5178571428571429,0.2083333333333333,0.13968510153292762,0.36403277077190116
10,10/7/2011,16-1,1,-0.0625,0.4875,-0.0625,0.05125,0.45
11,10/7/2011,16-1,1,-0.030000000000000006,0.5,-0.030000000000000006,0.05125,0.45
12,10/7/2011,16-1,1,-0.010000000000000005,0.2466666666666667,-0.010000000000000005,0.05125,0.45
13,10/7/2011,16-1,1,0.025,0.14166666666666666,0.025,0.05125,0.45
14,10/7/2011,16-1,1,-0.1,0.3,-0.1,0.05125,0.45
15,10/7/2011,16-1,1,-0.05,0.4,-0.05,0.05125,0.45
16,10/7/2011,16-1,1,-0.05,0.65,-0.05,0.05125,0.45
17,10/7/2011,16-1,1,0.14727272727272725,0.5599999999999999,0.14727272727272725,0.05125,0.45
18,10/7/2011,16-1,1,-0.1125,0.3375,-0.1125,0.05125,0.45
19,10/7/2011,16-1,1,0.055000000000000014,0.51,0.055000000000000014,0.05125,0.45
20,10/7/2011,16-1,1,-0.2,0.35,-0.2,0.05125,0.45
21,10/7/2011,16-1,1,0.07916666666666666,0.6583333333333333,0.07916666666666666,0.05125,0.45
22,10/4/2013,17-1,1,-0.1,0.3,-0.1,0.16433705183705183,0.33631969881969875
23,10/4/2013,17-1,1,0.3,0.55,0.3,0.16433705183705183,0.33631969881969875
24,10/4/2013,17-1,1,-0.1,0.3,-0.1,0.16433705183705183,0.33631969881969875
25,10/4/2013,17-1,1,-0.07777777777777779,0.6266666666666667,-0.07777777777777779,0.16433705183705183,0.33631969881969875
