Unnamed: 0,Date,ID,bin_pink,polarity,subjectivity,intensity,base_polarity,base_subjectivity,comp_polarity,comp_subjectivity
0,12/1/2009,11-1,1,-0.1,0.3,-0.1,-0.00011017029912378376,0.35943008380508384,0,0
1,12/1/2009,11-1,1,-0.1,0.5,-0.1,-0.00011017029912378376,0.35943008380508384,0,1
2,10/27/2013,15-1,1,0.021693121693121684,0.4133597883597884,0.021693121693121684,0.13968510153292762,0.3640327707719012,0,1
3,10/27/2013,15-1,1,-0.1,0.3,-0.1,0.13968510153292762,0.3640327707719012,0,0
4,10/27/2013,15-1,1,-0.05,0.125,-0.05,0.13968510153292762,0.3640327707719012,0,0
5,10/27/2013,15-1,1,0.13,0.4900000000000001,0.13,0.13968510153292762,0.3640327707719012,0,1
6,10/27/2013,15-1,1,-0.05,0.65,-0.05,0.13968510153292762,0.3640327707719012,0,1
7,10/27/2013,15-1,1,-0.06666666666666668,0.5,-0.06666666666666668,0.13968510153292762,0.3640327707719012,0,1
8,10/27/2013,15-1,1,0.2,0.4,0.2,0.13968510153292762,0.3640327707719012,1,1
9,10/27/2013,15-1,1,0.2083333333333333,0.5178571428571429,0.2083333333333333,0.13968510153292762,0.3640327707719012,1,1
10,10/7/2011,16-1,1,-0.0625,0.4875,-0.0625,0.05125,0.45,0,1
11,10/7/2011,16-1,1,-0.030000000000000006,0.5,-0.030000000000000006,0.05125,0.45,0,1
12,10/7/2011,16-1,1,-0.010000000000000005,0.2466666666666667,-0.010000000000000005,0.05125,0.45,0,0
13,10/7/2011,16-1,1,0.025,0.14166666666666666,0.025,0.05125,0.45,0,0
14,10/7/2011,16-1,1,-0.1,0.3,-0.1,0.05125,0.45,0,0
15,10/7/2011,16-1,1,-0.05,0.4,-0.05,0.05125,0.45,0,0
16,10/7/2011,16-1,1,-0.05,0.65,-0.05,0.05125,0.45,0,1
17,10/7/2011,16-1,1,0.14727272727272725,0.5599999999999999,0.14727272727272725,0.05125,0.45,1,1
18,10/7/2011,16-1,1,-0.1125,0.3375,-0.1125,0.05125,0.45,0,0
19,10/7/2011,16-1,1,0.05500000000000002,0.51,0.05500000000000002,0.05125,0.45,1,1
20,10/7/2011,16-1,1,-0.2,0.35,-0.2,0.05125,0.45,0,0
21,10/7/2011,16-1,1,0.07916666666666666,0.6583333333333333,0.07916666666666666,0.05125,0.45,1,1
22,10/4/2013,17-1,1,-0.1,0.3,-0.1,0.16433705183705186,0.33631969881969875,0,0
23,10/4/2013,17-1,1,0.3,0.55,0.3,0.16433705183705186,0.33631969881969875,1,1
24,10/4/2013,17-1,1,-0.1,0.3,-0.1,0.16433705183705186,0.33631969881969875,0,0
25,10/4/2013,17-1,1,-0.07777777777777779,0.6266666666666667,-0.07777777777777779,0.16433705183705186,0.33631969881969875,0,1
26,10/4/2013,17-1,1,0.018181818181818167,0.3772727272727273,0.018181818181818167,0.16433705183705186,0.33631969881969875,0,1
27,10/4/2013,17-1,1,-0.1,0.3,-0.1,0.16433705183705186,0.33631969881969875,0,0
28,10/4/2013,17-1,1,-0.1,0.3,-0.1,0.16433705183705186,0.33631969881969875,0,0
29,10/4/2013,17-1,1,0.16666666666666669,0.5666666666666667,0.16666666666666669,0.16433705183705186,0.33631969881969875,1,1
30,10/4/2013,17-1,1,0.2,0.30000000000000004,0.2,0.16433705183705186,0.33631969881969875,1,0
31,6/11/2012,18-1,1,-0.025,0.28750000000000003,-0.025,0.031662679425837316,0.24281399521531102,0,1
32,6/11/2012,18-1,1,-0.09,0.43666666666666665,-0.09,0.031662679425837316,0.24281399521531102,0,1
33,6/11/2012,18-1,1,-0.1,0.3,-0.1,0.031662679425837316,0.24281399521531102,0,1
34,6/11/2012,18-1,1,0.09545454545454546,0.55,0.09545454545454546,0.031662679425837316,0.24281399521531102,1,1
35,6/11/2012,18-1,1,-0.1,0.3,-0.1,0.031662679425837316,0.24281399521531102,0,1
36,10/1/2014,20-1,1,-0.1,0.3,-0.1,0.06315789473684211,0.2283416875522139,0,1
37,10/22/2011,9-11,1,-0.03333333333333333,0.4749999999999999,-0.03333333333333333,0.015794716646989383,0.3185470779220779,0,1
38,10/22/2011,9-11,1,-0.05,0.65,-0.05,0.015794716646989383,0.3185470779220779,0,1
39,10/22/2011,9-11,1,-0.11666666666666665,0.3333333333333333,-0.11666666666666665,0.015794716646989383,0.3185470779220779,0,1
40,10/22/2011,9-11,1,-0.10357142857142856,0.4357142857142857,-0.10357142857142856,0.015794716646989383,0.3185470779220779,0,1
41,9/18/2011,9-14,1,0.15000000000000002,0.35,0.15000000000000002,0.13823717948717945,0.5464726495726497,1,0
42,9/18/2011,9-14,1,0.1625,0.525,0.1625,0.13823717948717945,0.5464726495726497,1,0
43,9/18/2011,9-14,1,0.042857142857142864,0.3845238095238095,0.042857142857142864,0.13823717948717945,0.5464726495726497,0,0
44,9/18/2011,9-14,1,-0.03333333333333333,0.18333333333333326,-0.03333333333333333,0.13823717948717945,0.5464726495726497,0,0
